date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:28	18499/18499	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2002%20Sep%202024%2004:23:23%20GMT	https://events.framer.com/script	C:/Users/pc/Desktop/framer/CV2/events.framer.com/script	(from https://simplest-task-327740.framer.app/)
13:23:30	1137996/1137996	---MC-	200	added ('OK')	image/jpeg	etag:%226c894480fcb34a3288ba2dc863e014be%22	https://framerusercontent.com/images/7SRml9Jj4HlzN6f510lCXThcZE.jpg	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/images/7SRml9Jj4HlzN6f510lCXThcZE.jpg	(from https://simplest-task-327740.framer.app/)
13:23:31	271841/271841	---MC-	200	added ('OK')	image/jpeg	etag:%227ead62676d6d10edd687dfc624d54a56%22	https://framerusercontent.com/images/6KM7BNMK30CHgQ3IjZH7cBcfc.jpg?scale-down-to=2048	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/images/6KM7BNMK30CHgQ3IjZH7cBcfc9ae5.jpg	(from https://simplest-task-327740.framer.app/)
13:23:32	63531/63531	---M-Z	200	added ('OK')	text/html	etag:%22733de3ee3e2199e494d39774a0d930f9%22	https://simplest-task-327740.framer.app/input	C:/Users/pc/Desktop/framer/CV2/simplest-task-327740.framer.app/input.html	(from https://simplest-task-327740.framer.app/)
13:23:33	102906/102906	---MC-	200	added ('OK')	image/jpeg	etag:%22bfaf9df633fecff4c83eebae3024fbb6%22	https://framerusercontent.com/images/WPZGhdXH0dYOo5SBPi1eFMyk1o.jpg?scale-down-to=1024	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/images/WPZGhdXH0dYOo5SBPi1eFMyk1obf23.jpg	(from https://simplest-task-327740.framer.app/)
13:23:37	113972/113972	---MC-	200	added ('OK')	image/jpeg	etag:%2219ed66ffc2f73c678f1af23697156932%22	https://framerusercontent.com/images/S4brlvA5g3h1FAbXIp666pAOKgg.jpg?scale-down-to=1024	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/images/S4brlvA5g3h1FAbXIp666pAOKggbf23.jpg	(from https://simplest-task-327740.framer.app/)
13:23:37	146/146	---M--	403	error ('Forbidden')	text/xml	date:Mon,%2002%20Sep%202024%2004:23:32%20GMT	https://framerusercontent.com/robots.txt		(from https://simplest-task-327740.framer.app/)
13:23:37	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Sep%202024%2004:23:32%20GMT	https://fonts.gstatic.com/robots.txt		(from https://simplest-task-327740.framer.app/)
13:23:37	42/42	---M--	403	error ('Forbidden')	application/json	date:Mon,%2002%20Sep%202024%2004:23:33%20GMT	https://events.framer.com/robots.txt		(from https://simplest-task-327740.framer.app/)
13:23:38	10588/10588	---MCZ	200	added ('OK')	text/javascript	etag:W/%22fee2d82412bdc1f758d42aec13d1641c%22	https://framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/zcAwi_dyNsIMzV2FhmI4g5sNdrArom-Fwe-4TKyfeaM.F55SDPTS.mjs	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/zcAwi_dyNsIMzV2FhmI4g5sNdrArom-Fwe-4TKyfeaM.F55SDPTS.mjs	(from https://simplest-task-327740.framer.app/input)
13:23:39	655/655	---M--	200	added ('OK')	text/javascript	etag:%2236d60b41405b091a79a8058e53560b22%22	https://framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-6QLYMXLL.mjs	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-6QLYMXLL.mjs	(from https://simplest-task-327740.framer.app/input)
13:23:40	69438/69438	---M-Z	200	added ('OK')	text/html	etag:%2264e70851a4ece5a39c67e2cce7947f78%22	https://simplest-task-327740.framer.app/result	C:/Users/pc/Desktop/framer/CV2/simplest-task-327740.framer.app/result.html	(from https://simplest-task-327740.framer.app/input)
13:23:41	12395/12395	---MCZ	200	added ('OK')	text/javascript	etag:W/%224371ad94c7a0d61d46c541c9dcb8728a%22	https://framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/toylfc0GZ-Bpu5JrDd0C8ZzK-TecsyRstTx894K9Jb8.W4NILFN4.mjs	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/toylfc0GZ-Bpu5JrDd0C8ZzK-TecsyRstTx894K9Jb8.W4NILFN4.mjs	(from https://simplest-task-327740.framer.app/result)
13:23:42	654/654	---M--	200	added ('OK')	text/javascript	etag:%224a83cf54ff546978ac5f7d37d87c4904%22	https://framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-YD6PYECA.mjs	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-YD6PYECA.mjs	(from https://simplest-task-327740.framer.app/result)
